"DATE","TRADEVOLUME","TRADEPRICE","OPEN","HIGH","LOW","CLOSE","DIFF","TRANSACTION"
"107/05/02","880,499","37,415,824","43.10","43.10","42.05","42.65","-0.45","618"
"107/05/03","424,832","18,146,076","42.65","43.10","42.20","42.95","+0.30","267"
"107/05/04","577,856","24,598,741","42.95","42.95","42.20","42.70","-0.25","347"
"107/05/07","340,443","14,674,599","42.95","43.35","42.70","43.25","+0.55","247"
"107/05/08","544,388","23,752,572","43.05","43.85","43.05","43.70","+0.45","342"
"107/05/09","728,770","31,969,130","44.00","44.30","43.55","43.75","+0.05","461"
"107/05/10","1,464,913","65,615,623","44.10","45.50","43.95","45.30","+1.55","826"
"107/05/11","1,655,062","75,325,927","45.75","46.30","44.80","45.00","-0.30","1,026"
"107/05/14","658,323","29,791,746","45.05","45.75","45.00","45.40","+0.40","402"
"107/05/15","1,250,227","55,948,261","45.70","45.70","44.25","44.40","-1.00","624"
"107/05/16","1,052,065","47,395,305","44.30","45.50","44.10","44.95","+0.55","620"
"107/05/17","602,781","27,009,211","45.00","45.45","44.55","44.60","-0.35","396"
"107/05/18","360,708","16,118,968","44.50","45.00","44.40","44.85","+0.25","223"
"107/05/21","3,677,943","171,191,759","45.25","47.20","45.25","47.15","+2.30","2,008"
"107/05/22","2,803,442","132,740,091","47.90","47.90","46.85","47.30","+0.15","1,614"
"107/05/23","1,071,277","49,931,932","47.10","47.25","46.20","46.90","-0.40","610"
"107/05/24","1,040,890","48,659,421","46.95","47.10","46.40","47.10","+0.20","674"
"107/05/25","2,631,245","125,336,762","47.50","48.10","47.20","47.20","+0.10","1,484"
"107/05/28","1,501,655","71,677,838","47.50","48.20","47.30","48.00","+0.80","807"
"107/05/29","993,400","47,298,128","48.10","48.15","47.35","47.55","-0.45","585"
"107/05/30","1,094,241","50,949,282","47.10","47.10","46.20","46.80","-0.75","670"
"107/05/31","1,330,505","62,977,735","47.10","47.90","46.65","47.90","+1.10","618"
"107/06/01","1,327,360","62,546,120","47.50","47.70","46.85","46.90","-1.00","906"
"107/06/04","1,249,657","59,035,671","47.10","47.80","46.95","47.40","+0.50","656"
"107/06/05","914,850","43,119,300","47.90","47.90","46.90","47.00","-0.40","621"
"107/06/06","2,039,941","95,061,431","46.65","47.10","46.35","46.85","-0.15","1,106"
"107/06/07","2,042,096","95,840,862","47.70","47.80","46.40","47.10","+0.25","1,204"
"107/06/08","1,818,134","84,106,565","46.95","46.95","45.75","46.00","-1.10","1,006"
"107/06/11","1,633,919","74,303,096","46.00","46.20","44.95","45.65","-0.35","911"
"107/06/12","5,724,895","260,245,991","46.55","46.55","44.70","44.70","-0.95","2,583"
"107/06/13","1,667,165","75,499,887","44.75","45.70","44.70","45.40","+0.70","995"
"107/06/14","1,531,756","69,205,970","45.45","45.80","44.75","45.00","-0.40","902"
"107/06/15","14,177,038","638,157,110","45.40","45.80","44.95","44.95","-0.05","1,181"
"107/06/19","1,411,905","62,790,492","45.05","45.10","44.15","44.15","-0.80","819"
"107/06/20","1,049,640","45,927,210","44.45","44.45","43.20","43.80","-0.35","614"
"107/06/21","965,163","42,086,169","43.90","44.15","43.50","43.60","-0.20","637"
"107/06/22","1,900,293","81,111,952","43.30","43.30","42.45","42.55","-1.05","1,105"
"107/06/25","1,392,680","60,464,778","42.90","43.90","42.80","43.60","+1.05","997"
"107/06/26","1,724,749","73,732,657","43.40","43.40","42.45","43.00","-0.60","1,117"
"107/06/27","1,004,593","43,458,599","43.35","43.70","42.75","42.85","-0.15","626"
"107/06/28","869,920","37,227,914","42.70","43.00","42.50","42.75","-0.10","333"
"107/06/29","835,171","35,780,219","43.35","43.35","42.50","43.00","+0.25","582"
"107/07/02","983,473","42,324,789","43.15","43.40","42.90","43.00"," 0.00","499"
"107/07/03","1,774,335","74,631,350","42.40","42.60","41.05","41.50","+0.90","1,009"
"107/07/04","1,213,749","49,886,557","41.90","42.00","40.65","40.80","-0.70","790"
"107/07/05","1,016,640","41,678,040","40.80","41.95","40.55","40.75","-0.05","660"
"107/07/06","1,842,981","74,147,481","41.00","41.00","40.00","40.00","-0.75","1,141"
"107/07/09","1,210,648","50,202,159","40.80","42.30","40.40","42.10","+2.10","758"
"107/07/10","823,071","34,295,613","42.10","42.45","41.30","41.85","-0.25","492"
"107/07/11","636,125","26,231,611","41.30","41.50","41.10","41.25","-0.60","381"
"107/07/12","523,980","21,708,357","41.25","41.70","41.00","41.55","+0.30","314"
"107/07/13","710,863","29,935,803","41.85","42.40","41.65","42.10","+0.55","483"
"107/07/16","897,145","38,420,978","42.70","43.25","42.60","42.75","+0.65","582"
"107/07/17","848,401","36,124,127","43.20","43.20","42.25","42.60","-0.15","477"
"107/07/18","1,387,188","58,364,354","42.75","42.75","41.65","42.00","-0.60","787"
"107/07/19","636,460","26,600,798","42.05","42.25","41.60","41.80","-0.20","378"
"107/07/20","805,587","33,554,496","41.80","42.25","41.35","41.70","-0.10","436"
"107/07/23","363,871","15,121,453","42.00","42.00","41.40","41.55","-0.15","230"
"107/07/24","653,410","27,008,973","41.70","41.80","41.05","41.30","-0.25","430"
"107/07/25","718,010","29,800,720","41.80","41.80","41.40","41.65","+0.35","461"
"107/07/26","408,176","17,034,018","41.90","42.00","41.60","41.90","+0.25","274"
"107/07/27","922,372","39,067,411","42.00","42.70","42.00","42.25","+0.35","598"
"107/07/30","1,611,268","69,121,840","42.50","43.60","42.10","43.00","+0.75","867"
"107/07/31","984,870","42,160,377","43.15","43.20","42.30","42.85","-0.15","542"
"107/08/01","2,297,620","100,273,143","43.30","43.95","42.90","43.70","+0.85","1,132"
"107/08/02","1,323,454","57,157,133","43.70","43.70","42.95","43.25","-0.45","651"
"107/08/03","7,152,819","290,869,563","40.15","41.45","39.90","40.95","-2.30","3,360"
"107/08/06","1,511,086","62,536,367","41.00","41.70","40.95","41.50","+0.55","881"
"107/08/07","1,131,662","46,675,587","41.50","41.70","40.90","41.55","+0.05","584"
"107/08/08","1,167,874","48,877,999","41.65","42.15","41.60","42.00","+0.45","552"
"107/08/09","939,639","39,064,967","42.00","42.00","41.40","41.50","-0.50","458"
"107/08/10","1,535,285","64,669,730","42.05","42.35","41.95","42.00","+0.50","829"
"107/08/13","1,272,525","53,071,500","42.10","42.10","41.30","41.55","-0.45","675"
"107/08/14","1,715,212","72,284,608","41.65","42.50","41.65","42.50","+0.95","631"
"107/08/15","9,357,565","412,310,947","43.00","44.75","42.85","44.15","+1.65","3,981"
"107/08/16","7,482,065","338,566,166","44.50","45.95","44.15","45.85","+1.70","4,251"
"107/08/17","3,838,388","175,355,235","46.30","46.60","45.00","45.40","-0.45","2,168"
"107/08/20","1,818,654","81,678,980","45.40","45.85","44.20","44.90","-0.50","1,150"
"107/08/21","1,991,661","90,727,669","45.35","45.95","45.00","45.95","+1.05","1,040"
"107/08/22","1,531,938","69,924,744","46.00","46.50","45.10","45.20","-0.75","967"
"107/08/23","1,273,358","57,249,838","45.35","45.75","44.60","44.80","-0.40","729"
"107/08/24","921,766","41,488,770","45.10","45.30","44.60","45.00","+0.20","642"
"107/08/27","893,381","40,568,270","45.75","45.75","45.10","45.50","+0.50","514"
"107/08/28","4,522,207","209,013,470","45.90","46.50","45.50","46.50","+1.00","2,412"
"107/08/29","2,680,570","124,575,062","46.65","47.00","46.10","46.30","-0.20","1,461"
"107/08/30","1,432,175","66,416,189","46.75","46.75","46.05","46.30"," 0.00","817"
"107/08/31","902,437","41,461,934","46.30","46.30","45.85","45.85","-0.45","529"
"107/09/03","1,518,762","68,533,990","45.85","45.85","44.75","44.75","-1.10","954"
"107/09/04","849,568","38,583,882","45.00","45.80","44.90","45.75","+1.00","532"
"107/09/05","826,540","37,836,832","46.10","46.10","45.50","45.65","-0.10","544"
"107/09/06","965,984","44,045,312","45.50","46.00","45.10","46.00","+0.35","584"
"107/09/07","2,724,247","125,044,561","46.00","47.05","44.80","44.80","-1.20","1,578"
"107/09/10","2,637,784","114,021,188","45.00","45.20","42.35","42.75","-2.05","1,349"
"107/09/11","766,906","32,898,009","43.00","43.45","42.55","43.20","+0.45","468"
"107/09/12","1,285,586","54,927,817","43.20","43.20","42.45","42.95","-0.25","694"
"107/09/13","584,267","25,225,863","43.00","43.50","42.80","43.50","+0.55","412"
"107/09/14","726,135","31,728,954","43.75","43.90","43.35","43.75","+0.25","470"
"107/09/17","413,457","17,924,029","43.90","43.90","43.20","43.30","-0.45","227"
"107/09/18","446,822","19,326,251","43.15","43.55","43.00","43.55","+0.25","358"
"107/09/19","426,261","18,601,910","44.10","44.10","43.40","43.40","-0.15","338"
"107/09/20","438,280","18,999,777","43.75","43.75","43.10","43.45","+0.05","316"
"107/09/21","1,301,124","55,875,834","43.60","43.60","42.60","42.60","-0.85","673"
"107/09/25","703,772","30,024,447","42.45","43.05","42.15","42.75","+0.15","482"
"107/09/26","342,091","14,619,742","42.80","42.95","42.50","42.75"," 0.00","218"
"107/09/27","442,250","18,858,837","42.60","42.85","42.50","42.70","-0.05","294"
"107/09/28","1,409,978","59,341,322","42.70","42.70","41.70","42.05","-0.65","812"
"107/10/01","1,016,559","42,440,507","42.05","42.05","41.50","41.65","-0.40","594"
"107/10/02","385,400","16,221,195","42.00","42.40","41.70","42.25","+0.60","306"
"107/10/03","643,020","27,184,395","42.25","42.55","42.00","42.40","+0.15","477"
"107/10/04","264,156","11,169,535","42.45","42.50","42.05","42.45","+0.05","220"
"107/10/05","1,326,570","54,811,340","42.10","42.10","40.10","41.00","-1.45","734"
"107/10/08","622,262","25,529,892","41.00","41.20","40.85","40.95","-0.05","416"
"107/10/09","771,500","31,758,000","40.95","41.55","40.80","41.45","+0.50","500"
"107/10/11","4,701,219","177,457,387","39.00","40.00","37.35","37.35","-4.10","1,836"
"107/10/12","1,239,429","46,730,203","36.30","38.35","36.30","38.20","+0.85","816"
"107/10/15","688,150","26,185,475","38.40","38.45","37.85","37.85","-0.35","493"
"107/10/16","676,360","25,917,370","37.85","38.60","37.85","38.35","+0.50","582"
"107/10/17","784,075","30,587,746","39.00","39.30","38.75","38.80","+0.45","606"
"107/10/18","615,322","24,233,710","38.70","39.75","38.70","39.65","+0.85","441"
"107/10/19","1,100,220","43,288,965","39.25","39.65","38.60","39.65"," 0.00","549"
"107/10/22","610,323","24,359,000","39.60","40.25","39.40","39.90","+0.25","435"
"107/10/23","388,200","15,370,207","39.50","40.00","39.40","39.50","-0.40","310"
"107/10/24","420,128","16,576,756","39.70","39.95","39.10","39.40","-0.10","292"
"107/10/25","709,464","27,129,514","38.00","38.55","37.90","38.50","-0.90","517"
"107/10/26","1,179,507","44,422,666","38.80","39.00","36.50","37.25","-1.25","736"
"107/10/29","490,004","18,333,648","37.30","37.80","37.05","37.20","-0.05","323"
"107/10/30","398,217","14,946,175","37.70","37.80","37.25","37.70","+0.50","303"
"107/10/31","399,220","15,312,856","38.05","38.60","38.05","38.40","+0.70","269"
"107/11/01","852,014","33,628,903","38.60","39.80","38.50","39.65","+1.25","597"
"107/11/02","562,596","22,226,291","40.20","40.30","38.95","39.40","-0.25","393"
"107/11/05","616,360","24,433,820","39.10","39.90","39.10","39.85","+0.45","431"
"107/11/06","798,587","31,315,318","40.00","40.15","38.75","38.80","-1.05","545"
"107/11/07","641,387","25,458,600","39.20","39.95","39.15","39.95","+1.15","419"
"107/11/08","1,224,611","49,645,621","40.05","40.90","40.05","40.80","+0.85","867"
"107/11/09","688,085","27,615,723","40.80","40.80","39.75","40.10","-0.70","538"
"107/11/12","1,140,532","45,817,148","40.15","40.75","39.80","39.90","-0.20","811"
"107/11/13","746,140","29,645,140","38.50","40.40","38.50","40.35","+0.45","582"
"107/11/14","434,791","17,527,177","40.50","40.60","40.10","40.20","-0.15","295"
"107/11/15","564,050","22,730,422","40.20","40.50","40.10","40.45","+0.25","483"
"107/11/16","445,136","18,066,848","40.70","40.80","40.45","40.50","+0.05","325"
"107/11/19","429,798","17,533,160","40.50","41.00","40.50","41.00","+0.50","337"
"107/11/20","597,061","24,427,003","40.90","41.20","40.55","40.90","-0.10","396"
"107/11/21","403,040","16,422,320","40.55","41.00","40.30","40.80","-0.10","297"
"107/11/22","1,117,130","46,157,580","40.80","41.95","40.65","40.65","-0.15","779"
"107/11/23","1,532,771","63,013,587","41.30","41.70","40.35","41.55","+0.90","981"
"107/11/26","1,563,992","65,539,360","41.60","42.65","41.50","41.90","+0.35","1,101"
"107/11/27","2,847,015","122,330,344","42.05","43.45","42.00","43.40","+1.50","1,677"
"107/11/28","2,004,082","86,829,555","43.00","43.50","42.80","43.50","+0.10","1,397"
"107/11/29","2,192,697","96,989,641","43.80","44.80","43.60","43.75","+0.25","1,300"
"107/11/30","2,616,764","116,402,486","44.00","45.70","43.45","44.75","+1.00","1,385"
"107/12/03","1,672,045","75,258,613","45.20","45.45","44.80","44.85","+0.10","1,013"
"107/12/04","1,410,520","63,291,794","45.00","45.15","44.50","44.90","+0.05","868"
"107/12/05","1,317,500","58,032,300","44.10","44.45","43.80","43.85","-1.05","753"
"107/12/06","1,208,058","51,818,062","43.85","43.85","42.00","42.60","-1.25","751"
"107/12/07","773,783","33,768,041","43.05","44.25","42.85","43.80","+1.20","496"
"107/12/10","831,102","35,809,186","43.75","43.75","42.70","42.90","-0.90","556"
"107/12/11","443,165","19,171,721","43.00","43.50","43.00","43.10","+0.20","315"
"107/12/12","316,669","13,712,394","43.35","43.50","43.15","43.25","+0.15","243"
"107/12/13","463,495","20,187,131","43.35","43.70","43.35","43.40","+0.15","297"
"107/12/14","261,780","11,334,371","43.40","43.70","43.05","43.50","+0.10","190"
"107/12/17","303,620","13,183,269","43.05","43.75","43.05","43.20","-0.30","205"
"107/12/18","411,084","17,535,283","43.00","43.00","42.45","42.70","-0.50","281"
"107/12/19","498,515","21,354,486","42.75","43.10","42.65","42.80","+0.10","335"
"107/12/20","783,210","33,219,272","42.80","42.95","42.00","42.50","-0.30","472"
"107/12/21","914,077","38,411,264","42.40","42.50","41.80","41.80","-0.70","521"
"107/12/22","216,591","9,028,720","41.50","41.85","41.35","41.85","+0.05","143"
"107/12/24","573,210","24,379,543","42.30","42.80","41.85","42.80","+0.95","376"
"107/12/25","283,298","11,920,561","42.00","42.40","41.85","42.30","-0.50","218"
"107/12/26","267,118","11,229,228","42.35","42.55","41.75","41.80","-0.50","185"
"107/12/27","475,060","20,074,514","42.35","42.50","42.00","42.15","+0.35","352"
"107/12/28","343,122","14,369,493","42.10","42.30","41.70","42.00","-0.15","292"
"108/01/02","418,311","17,430,441","42.30","42.50","41.50","41.60","-0.40","279"
"108/01/03","408,906","16,838,530","41.60","41.60","41.00","41.15","-0.45","386"
"108/01/04","910,503","36,495,034","40.80","40.80","39.80","40.05","-1.10","638"
"108/01/07","725,700","29,272,504","40.50","40.80","40.05","40.20","+0.15","434"
"108/01/08","442,290","17,753,063","40.45","40.45","39.90","40.35","+0.15","301"
"108/01/09","378,876","15,427,374","40.50","40.90","40.45","40.80","+0.45","309"
"108/01/10","304,528","12,476,496","41.00","41.20","40.80","41.20","+0.40","239"
"108/01/11","923,237","37,945,259","41.55","41.85","40.70","40.75","-0.45","605"
"108/01/14","371,200","15,069,711","40.55","40.95","40.45","40.50","-0.25","284"
"108/01/15","1,182,074","47,579,467","40.55","40.95","39.80","39.95","-0.55","636"
"108/01/16","963,853","38,990,437","40.00","40.85","40.00","40.20","+0.25","604"
"108/01/17","762,172","31,190,302","40.45","41.25","40.40","41.00","+0.80","556"
"108/01/18","362,194","14,909,862","41.30","41.30","40.95","41.05","+0.05","283"
"108/01/21","537,562","22,100,442","41.30","41.35","40.80","40.95","-0.10","388"
"108/01/22","504,439","20,443,051","40.95","40.95","40.10","40.45","-0.50","315"
"108/01/23","324,251","13,118,408","40.80","40.80","40.30","40.40","-0.05","273"
"108/01/24","602,358","24,330,777","40.40","40.75","40.20","40.20","-0.20","452"
"108/01/25","429,103","17,383,371","40.50","40.70","40.15","40.50","+0.30","334"
"108/01/28","638,013","26,205,275","40.75","41.30","40.70","41.20","+0.70","486"
"108/01/29","507,730","20,759,246","41.05","41.10","40.65","40.90","-0.30","420"
"108/01/30","372,913","15,275,383","40.90","41.10","40.80","40.85","-0.05","294"
"108/02/11","722,959","29,764,859","41.25","41.35","40.95","41.10","+0.25","504"
"108/02/12","611,992","25,219,513","41.20","41.35","41.10","41.25","+0.15","486"
"108/02/13","774,946","32,030,463","41.45","41.45","41.20","41.30","+0.05","473"
"108/02/14","1,385,298","58,081,569","41.40","42.25","41.30","42.20","+0.90","923"
"108/02/15","1,213,131","50,996,214","42.35","42.50","41.55","41.70","-0.50","748"
"108/02/18","1,102,437","45,459,513","41.50","41.75","41.05","41.15","-0.55","719"
"108/02/19","270,251","11,165,773","41.25","41.50","41.15","41.30","+0.15","230"
"108/02/20","440,830","18,184,219","41.55","41.60","41.15","41.30"," 0.00","353"
"108/02/21","633,250","26,091,471","41.30","41.45","41.10","41.30"," 0.00","418"
"108/02/22","569,694","23,561,438","41.40","41.55","41.15","41.35","+0.05","395"
"108/02/25","759,536","31,461,250","41.50","41.70","41.25","41.70","+0.35","521"
"108/02/26","1,124,307","47,078,594","41.70","42.15","41.60","42.00","+0.30","740"
"108/02/27","1,600,191","67,696,846","42.00","42.85","41.55","42.75","+0.75","1,090"
"108/03/04","1,600,358","67,588,438","42.75","42.75","41.75","42.35","-0.40","1,099"
"108/03/05","654,868","27,518,800","41.90","42.30","41.90","41.90","-0.45","480"
"108/03/06","638,646","26,921,346","42.00","42.35","41.95","42.35","+0.45","522"
"108/03/07","836,537","35,071,154","42.35","42.35","41.65","41.70","-0.65","565"
"108/03/08","600,880","25,193,320","41.70","42.40","41.50","42.25","+0.55","422"
"108/03/11","1,455,390","62,238,370","42.50","42.95","42.40","42.85","+0.60","958"
"108/03/12","875,005","37,623,035","43.25","43.25","42.85","42.85"," 0.00","555"
"108/03/13","773,774","33,197,233","43.00","43.15","42.70","42.90","+0.05","500"
"108/03/14","878,770","37,922,664","43.05","43.35","43.00","43.00","+0.10","576"
"108/03/15","1,713,202","74,821,631","43.10","44.10","43.10","43.50","+0.50","978"
"108/03/18","1,316,578","57,901,045","44.00","44.35","43.70","43.80","+0.30","767"
"108/03/19","637,320","27,812,855","43.90","43.90","43.50","43.75","-0.05","459"
"108/03/20","1,160,939","51,180,237","43.90","44.45","43.60","44.45","+0.70","727"
"108/03/21","1,034,088","45,993,435","44.50","44.65","44.30","44.45"," 0.00","699"
"108/03/22","1,632,165","73,155,770","44.70","45.15","44.55","44.90","+0.45","955"
"108/03/25","2,218,609","99,386,249","44.35","45.45","44.15","45.00","+0.10","1,254"
"108/03/26","4,500,803","208,699,094","46.50","46.95","45.75","46.20","+1.20","2,399"
"108/03/27","1,974,321","91,759,371","46.20","46.70","46.15","46.50","+0.30","2,179"
"108/03/28","2,880,896","135,483,662","46.90","47.20","46.80","47.00","+0.50","2,007"
"108/03/29","2,413,200","114,292,942","47.30","47.55","47.00","47.00"," 0.00","1,630"
"108/04/01","4,607,209","222,333,348","47.80","48.85","47.55","47.85","+0.85","2,941"
"108/04/02","2,422,997","116,676,728","48.20","48.60","47.45","48.35","+0.50","1,704"
"108/04/03","1,803,458","87,100,262","48.20","48.75","48.00","48.15","-0.20","1,298"
"108/04/08","1,486,847","72,138,445","48.70","48.85","48.30","48.65","+0.50","1,340"
"108/04/09","1,420,920","69,413,311","48.90","49.00","48.65","48.90","+0.25","1,287"
"108/04/10","4,392,208","218,216,787","49.00","50.60","49.00","49.15","+0.25","2,634"
"108/04/11","3,789,643","188,900,450","49.10","50.30","49.10","50.10","+0.95","2,453"
"108/04/12","3,867,547","195,509,216","50.50","51.40","49.60","49.80","-0.30","2,212"
"108/04/15","2,792,035","141,352,749","50.20","51.20","50.10","51.00","+1.20","1,737"
"108/04/16","2,424,774","121,570,485","50.80","50.90","49.75","49.95","-1.05","1,548"
"108/04/17","2,447,843","121,735,131","50.00","50.30","49.20","49.80","-0.15","1,551"
"108/04/18","1,809,897","90,258,303","50.20","50.40","49.50","49.60","-0.20","1,130"
"108/04/19","1,027,962","51,148,156","49.75","50.30","49.50","49.80","+0.20","659"
"108/04/22","2,470,092","121,315,659","49.80","50.20","48.50","48.75","-1.05","1,490"
"108/04/23","1,921,833","93,541,439","48.75","49.25","48.20","49.20","+0.45","1,141"
"108/04/24","2,695,262","134,463,057","50.00","50.20","49.45","49.85","+0.65","1,665"
"108/04/25","3,555,009","179,801,048","50.40","50.80","50.00","50.60","+0.75","2,159"
"108/04/26","1,581,912","78,969,974","50.60","50.60","49.55","49.65","-0.95","1,040"
"108/04/29","1,555,146","76,129,690","49.75","49.80","48.60","48.65","-1.00","986"
"108/04/30","1,337,575","65,918,750","48.65","50.40","48.60","50.00","+1.35","875"
"108/05/02","1,765,859","87,923,406","50.00","50.40","49.40","49.90","-0.10","1,133"
"108/05/03","1,748,652","85,993,673","49.50","49.85","48.90","48.90","-1.00","1,144"
"108/05/06","1,776,467","85,251,333","48.20","48.40","47.50","47.90","-1.00","1,194"
