"DATE","TRADEVOLUME","TRADEPRICE","OPEN","HIGH","LOW","CLOSE","DIFF","TRANSACTION"
"107/01/02","8,670,419","426,188,549","48.50","49.70","48.35","48.85","+0.75","4,393"
"107/01/03","5,233,987","254,783,108","48.85","49.15","48.35","48.70","-0.15","2,222"
"107/01/04","7,659,787","365,435,558","49.20","49.30","46.65","47.10","-1.60","4,032"
"107/01/05","2,795,190","131,659,592","47.10","47.80","46.60","46.60","-0.50","1,558"
"107/01/08","4,017,150","187,964,850","47.10","47.35","46.05","47.10","+0.50","2,070"
"107/01/09","3,919,375","186,444,371","47.20","48.30","46.85","47.50","+0.40","2,331"
"107/01/10","17,019,820","848,235,264","49.05","51.40","48.70","48.95","+1.45","9,152"
"107/01/11","12,002,868","602,488,572","49.70","51.00","49.30","51.00","+2.05","6,236"
"107/01/12","26,800,205","1,438,128,765","52.50","55.40","52.20","53.20","+2.20","13,154"
"107/01/15","15,974,367","867,162,475","54.00","55.70","52.10","54.80","+1.60","7,769"
"107/01/16","8,149,003","440,508,548","53.80","55.20","52.90","53.90","-0.90","4,244"
"107/01/17","11,795,022","651,283,068","54.80","56.20","54.20","54.40","+0.50","6,173"
"107/01/18","7,040,163","387,066,237","55.30","55.80","54.20","54.50","+0.10","3,635"
"107/01/19","6,598,805","357,683,496","56.00","56.00","53.20","53.40","-1.10","3,545"
"107/01/22","6,430,772","342,161,680","53.80","54.60","52.10","54.60","+1.20","3,314"
"107/01/23","7,720,234","423,422,913","55.20","56.20","53.50","53.50","-1.10","4,079"
"107/01/24","4,656,600","251,503,926","53.00","55.30","52.50","55.00","+1.50","2,738"
"107/01/25","5,079,874","279,913,545","55.50","56.00","54.00","54.30","-0.70","3,159"
"107/01/26","4,139,718","227,904,613","54.60","55.90","54.10","55.90","+1.60","2,335"
"107/01/29","8,737,685","481,452,074","57.00","57.50","53.70","53.70","-2.20","4,685"
"107/01/30","3,827,162","203,991,186","53.20","54.20","52.80","53.20","-0.50","1,952"
"107/01/31","2,467,288","131,508,459","52.70","54.00","52.50","53.80","+0.60","1,407"
"107/02/01","2,232,790","119,418,587","53.80","54.00","52.90","52.90","-0.90","1,467"
"107/02/02","1,265,568","67,159,840","53.40","53.40","52.80","52.90"," 0.00","794"
"107/02/05","2,525,061","130,561,804","51.00","52.80","51.00","52.60","-0.30","1,467"
"107/02/06","7,724,188","376,473,590","51.00","51.70","47.35","47.35","-5.25","3,593"
"107/02/07","4,501,590","223,478,410","49.00","51.00","48.95","49.05","+1.70","2,258"
"107/02/08","4,419,332","222,630,242","49.20","51.30","49.20","51.20","+2.15","2,332"
"107/02/09","3,716,082","183,966,601","48.60","50.70","47.60","50.70","-0.50","2,225"
"107/02/12","3,717,134","183,918,616","51.00","51.00","48.80","48.80","-1.90","2,050"
"107/02/21","2,424,716","122,443,855","50.90","50.90","50.00","50.90","+2.10","1,364"
"107/02/22","1,456,879","73,997,287","50.70","51.30","50.10","50.50","-0.40","862"
"107/02/23","1,621,050","82,358,850","50.80","51.70","50.10","50.30","-0.20","980"
"107/02/26","1,718,220","86,172,650","50.60","50.80","49.70","50.30"," 0.00","1,020"
"107/02/27","1,899,276","94,574,386","50.30","50.80","49.45","49.45","-0.85","1,042"
"107/03/01","2,979,308","147,689,800","48.90","50.40","48.55","49.40","-0.05","1,832"
"107/03/02","1,669,272","81,746,682","49.15","49.50","48.65","48.85","-0.55","1,097"
"107/03/05","1,148,375","55,891,236","49.40","49.40","48.10","48.10","-0.75","762"
"107/03/06","1,367,331","65,801,932","48.75","48.85","47.65","48.50","+0.40","932"
"107/03/07","1,242,964","59,869,821","48.20","48.60","47.80","47.85","-0.65","816"
"107/03/08","3,143,910","148,483,325","48.00","48.30","46.10","46.80","-1.05","1,864"
"107/03/09","3,263,454","157,062,296","47.45","49.00","46.90","49.00","+2.20","2,182"
"107/03/12","2,375,807","115,523,715","49.50","49.50","48.30","48.50","-0.50","1,537"
"107/03/13","2,269,221","108,905,468","48.50","48.50","47.60","48.00","-0.50","1,691"
"107/03/14","3,084,756","145,636,480","48.00","48.00","46.60","47.35","-0.65","2,005"
"107/03/15","2,340,755","109,622,135","47.35","47.40","46.50","46.55","-0.80","1,565"
"107/03/16","1,464,917","69,020,423","46.65","47.60","46.65","47.25","+0.70","930"
"107/03/19","1,954,048","93,354,881","47.60","48.10","47.35","47.65","+0.40","1,076"
"107/03/20","680,056","32,204,401","47.50","47.60","47.05","47.40","-0.25","438"
"107/03/21","1,413,077","66,591,489","47.50","47.75","46.85","46.95","-0.45","957"
"107/03/22","1,241,336","58,099,370","47.05","47.40","46.50","46.50","-0.45","764"
"107/03/23","1,732,528","78,790,354","45.20","46.40","44.50","45.75","-0.75","940"
"107/03/26","1,125,143","51,026,781","45.15","45.55","45.15","45.30","-0.45","769"
"107/03/27","974,866","44,852,236","46.05","46.35","45.80","46.00","+0.70","556"
"107/03/28","566,320","25,906,336","45.95","45.95","45.55","45.60","-0.40","343"
"107/03/29","1,643,298","74,244,917","45.80","45.90","44.90","45.00","-0.60","900"
"107/03/30","842,340","38,112,995","45.30","45.45","45.00","45.30","+0.30","471"
"107/03/31","792,541","36,415,489","45.40","46.30","45.40","46.05","+0.75","488"
"107/04/02","4,396,887","208,274,376","46.10","48.30","46.10","48.00","+1.95","2,801"
"107/04/03","2,373,103","112,408,274","47.80","47.80","47.10","47.30","-0.70","1,590"
"107/04/09","1,564,700","73,909,230","47.30","47.70","46.95","47.15","-0.15","1,031"
"107/04/10","1,699,326","80,445,872","47.60","47.65","47.10","47.10","-0.05","995"
"107/04/11","1,913,133","89,512,850","47.35","47.75","46.30","46.30","-0.80","1,147"
"107/04/12","2,770,228","125,407,175","46.20","46.30","44.85","45.15","-1.15","1,814"
"107/04/13","718,267","32,736,901","45.70","45.80","45.40","45.55","+0.40","440"
"107/04/16","829,172","37,511,638","45.55","45.80","45.05","45.30","-0.25","464"
"107/04/17","1,997,287","88,351,461","45.25","45.30","43.95","44.00","-1.30","1,063"
"107/04/18","1,859,285","81,190,749","44.05","44.65","43.10","43.30","-0.70","1,088"
"107/04/19","1,686,732","74,554,024","43.55","44.70","43.55","44.35","+1.05","1,071"
"107/04/20","865,046","38,077,035","44.35","44.40","43.65","44.35"," 0.00","583"
"107/04/23","891,882","39,103,408","44.50","44.60","43.55","43.60","-0.75","539"
"107/04/24","1,370,966","58,289,840","43.60","43.60","42.00","42.35","-1.25","812"
"107/04/25","855,085","35,887,322","42.00","42.30","41.75","42.10","-0.25","470"
"107/04/26","1,257,852","52,477,347","42.50","42.70","41.00","41.05","-1.05","664"
"107/04/27","980,252","40,541,504","41.40","41.95","41.05","41.30","+0.25","525"
"107/04/30","784,919","33,335,554","41.65","43.10","41.65","43.10","+1.80","558"
